,year,month,state,Mental_Health_Records_Submitted_2008,Mental_Health_Records_Submitted_2017,Gun_Sale_Denials_2008,Gun_Sale_Denials_2017,Giffords Gun Safety Score,Gun Deaths per 100k People (2018),Gun Death Rate (Ranked High to Low),Rank,# of guns per capita,# of guns registered,Permit Type,Handgun_Carry_Permit_Fee,Years_Valid,5_Year_Cost,Happiness Score,n_incidents
63069,2017,12,Delaware,0,16359,1,88,B,11.6,36.0,50,0.005,4852,License to carry concealed deadly weapon,65.0,5,65,2,17
63086,2018,1,Delaware,0,16359,1,88,B,11.6,36.0,50,0.005,4852,License to carry concealed deadly weapon,65.0,5,65,2,12
63098,2018,2,Delaware,0,16359,1,88,B,11.6,36.0,50,0.005,4852,License to carry concealed deadly weapon,65.0,5,65,2,12
63110,2018,3,Delaware,0,16359,1,88,B,11.6,36.0,50,0.005,4852,License to carry concealed deadly weapon,65.0,5,65,2,7
83021,2014,1,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,189
83210,2014,2,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,133
83343,2014,3,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,158
83501,2014,4,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,150
83651,2014,5,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,153
83804,2014,6,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,134
83938,2014,7,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,177
84115,2014,8,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,131
84246,2014,9,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,129
84375,2014,10,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,143
84518,2014,11,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,127
84645,2014,12,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,154
84799,2015,1,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,158
84957,2015,2,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,126
85083,2015,3,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,165
85248,2015,4,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,138
85386,2015,5,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,179
85565,2015,6,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,164
85729,2015,7,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,183
85912,2015,8,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,149
86061,2015,9,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,132
86193,2015,10,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,136
86329,2015,11,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,141
86470,2015,12,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,141
86611,2016,1,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,165
86776,2016,2,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,128
86904,2016,3,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,194
87098,2016,4,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,156
87254,2016,5,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,199
87453,2016,6,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,161
87614,2016,7,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,169
87783,2016,8,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,167
87950,2016,9,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,131
88081,2016,10,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,117
88198,2016,11,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,129
88327,2016,12,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,196
88523,2017,1,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,178
88701,2017,2,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,174
88875,2017,3,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,183
89058,2017,4,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,198
89256,2017,5,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,201
89457,2017,6,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,187
89644,2017,7,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,217
89861,2017,8,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,152
90013,2017,9,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,113
90126,2017,10,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,177
90303,2017,11,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,155
90458,2017,12,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,172
90630,2018,1,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,199
90829,2018,2,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,131
90960,2018,3,Florida,18580,151859,80,848,C-,12.3,28.0,30,0.017,343288,Concealed weapon or firearm license,97.0,7,97,11,107
66962,2014,1,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,65
67027,2014,2,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,44
67071,2014,3,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,82
67153,2014,4,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,67
67220,2014,5,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,76
67296,2014,6,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,79
67375,2014,7,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,108
67483,2014,8,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,116
67599,2014,9,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,117
67716,2014,10,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,109
67825,2014,11,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,84
67909,2014,12,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,74
67983,2015,1,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,85
68068,2015,2,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,91
68159,2015,3,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,99
68258,2015,4,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,107
68365,2015,5,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,119
68484,2015,6,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,110
68594,2015,7,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,137
68731,2015,8,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,120
68851,2015,9,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,115
68966,2015,10,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,103
69069,2015,11,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,122
69191,2015,12,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,136
69327,2016,1,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,118
69445,2016,2,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,98
69543,2016,3,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,77
69620,2016,4,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,56
69676,2016,5,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,71
69747,2016,6,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,69
69816,2016,7,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,79
69895,2016,8,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,85
69980,2016,9,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,74
70054,2016,10,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,98
70152,2016,11,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,64
70216,2016,12,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,115
70331,2017,1,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,109
70440,2017,2,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,100
70540,2017,3,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,106
70646,2017,4,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,113
70759,2017,5,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,134
70893,2017,6,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,121
71014,2017,7,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,135
71149,2017,8,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,132
71281,2017,9,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,80
71361,2017,10,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,125
71486,2017,11,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,97
71583,2017,12,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,82
71665,2018,1,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,96
71761,2018,2,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,72
71833,2018,3,Georgia,3257,11063,42,202,F,15.4,19.0,21,0.019,190050,Weapons carry license,75.0,5,75,3,77
129620,2014,1,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,3
129623,2014,3,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129627,2014,4,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129628,2014,6,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129629,2014,7,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129633,2014,8,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129635,2014,9,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129637,2014,11,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129638,2014,12,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129639,2015,2,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,3
129642,2015,3,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,3
129645,2015,4,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129646,2015,5,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129648,2015,6,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,5
129653,2015,7,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129655,2015,8,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129659,2015,9,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,3
129662,2015,10,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129666,2015,11,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129667,2015,12,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129668,2016,1,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129672,2016,2,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129674,2016,3,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,5
129679,2016,4,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129683,2016,5,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,3
129686,2016,6,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129690,2016,7,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,3
129693,2016,8,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,3
129696,2016,9,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129697,2016,10,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129701,2016,11,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129703,2016,12,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,3
129706,2017,1,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129708,2017,2,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129709,2017,3,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129713,2017,4,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129714,2017,5,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129716,2017,6,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129717,2017,7,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,4
129721,2017,9,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129723,2017,10,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,2
129725,2017,11,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129726,2017,12,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129727,2018,1,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
129728,2018,2,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,3
129731,2018,3,Hawaii,1,7593,0,0,A-,2.4,50.0,48,0.005,7859,License to carry handgun,42.0,1,210,2,1
132941,2014,1,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,1
132942,2014,2,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
132947,2014,3,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,3
132950,2014,4,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,3
132953,2014,5,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
132957,2014,6,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
132962,2014,7,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,6
132968,2014,8,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
132973,2014,9,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,2
132975,2014,10,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
132980,2014,11,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,3
132983,2014,12,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
132987,2015,1,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
132992,2015,2,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
132996,2015,3,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,11
133007,2015,4,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,6
133013,2015,5,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,2
133015,2015,6,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,7
133022,2015,7,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,3
133025,2015,8,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,7
133032,2015,9,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
133037,2015,10,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,7
133044,2015,11,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,3
133047,2015,12,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,2
133049,2016,1,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
133053,2016,2,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,6
133059,2016,3,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
133064,2016,4,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
133069,2016,5,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,3
133072,2016,6,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
133076,2016,7,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,1
133077,2016,8,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,7
133084,2016,9,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
133088,2016,10,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
133092,2016,11,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,8
133100,2016,12,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,3
133103,2017,1,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,7
133110,2017,2,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,3
133113,2017,3,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,6
133119,2017,4,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,1
133120,2017,5,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
133125,2017,6,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
133129,2017,7,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,7
133136,2017,8,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
133140,2017,9,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,7
133147,2017,10,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,4
133151,2017,11,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,7
133158,2017,12,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
133163,2018,1,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,11
133174,2018,2,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,2
133176,2018,3,Idaho,0,36148,8,141,F,16.4,15.0,8,0.03,49566,Concealed weapons license,20.0,5,20,2,5
49266,2014,1,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,102
49368,2014,2,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,79
49447,2014,3,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,116
49563,2014,4,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,204
49767,2014,5,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,250
50017,2014,6,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,215
50232,2014,7,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,268
50500,2014,8,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,235
50735,2014,9,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,189
50924,2014,10,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,208
51132,2014,11,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,158
51290,2014,12,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,226
51516,2015,1,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,164
51680,2015,2,Illinois,1,47555,0,1,B+,12.1,31.0,41,0.011,146487,Concealed carry license,150.0,5,150,2,96
