Law ID,State,State Postal Abbreviation,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Confirmation Code
ID1012,Idaho,ID,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
ID1013,Idaho,ID,Minimum purchase and sale age - handguns and long guns,Restrictive,Implement,1/1/1972,"Not sure about day + month, so using January 1.",1,1,1972,Idaho Code Ann. § 18-3308 (1972),"No person, firm, association or corporation shall sell or give to any minor 
under the age of sixteen (16)...any firearms of any 
description, without the written consent of the parents or guardian of such 
minor first had and obtained.",1,16,,,,
ID1014,Idaho,ID,Minimum purchase and sale age - handguns and long guns,Restrictive,Modify,4/5/1990,,4,5,1990,Idaho Code Ann. § 18-3308; Idaho Code Ann. § 18-3302A,"18-3308: No person, firm, association or corporation shall sell or give to any minor under the age of sixteen (16) years any powder, commonly called gunpowder, of any description, or any dynamite or other explosive, or any shells or fixed ammunition of any kind, except shells loaded for use in shotguns and for use in rifles of twenty-two (22) caliber or smaller, or any firearms of any description, without the written consent of the parents or guardian of such minor first had and obtained. Any person, firm, association or corporation violating any of the provisions of this section shall be deemed guilty of a misdemeanor.;                                                                              18-3302A. Sale of weapons to minors.
   It shall be unlawful to directly or indirectly sell or deliver, loan or barter to any minor under the age of sixteen (16) years any weapon without the consent of the parent or guardian of the minor. Any person violating the provisions of this section shall be guilty of a misdemeanor and shall be punished by a fine not in excess of one thousand dollars ($ 1,000) by imprisonment in the county jail for a term not in excess of six (6) months, or by both such fine and imprisonment. As used in this section, ""weapon"" shall mean any dirk, dirk knife, bowie knife, dagger, pistol, revolver, gun, or any other dangerous weapon.

",,16,,,,
ID1015,Idaho,ID,Minimum purchase and sale age - handguns and long guns,Restrictive,Modify,4/7/1994,,4,7,1994,Idaho Code Ann. § 18-3302A,"18-3302A It shall be unlawful to directly or indirectly sell to any minor under the age of eighteen (18) years any weapon without the written consent of the parent or guardian of the minor. Any person violating the provisions of this section shall be guilty of a misdemeanor and shall be punished by a fine not in excess of one thousand dollars ($ 1,000), by imprisonment in the county jail for a term not in excess of six (6) months, or by both such fine and imprisonment. As used in this section, ""weapon"" shall mean any dirk, dirk knife, bowie knife, dagger, pistol, revolver or gun.",,18,,,,
ID1016,Idaho,ID,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
ID1017,Idaho,ID,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
ID1018,Idaho,ID,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
ID1019,Idaho,ID,Waiting period - handguns and long guns,,,,,,,,,No law imposing waiting period for purchase of handguns or long guns,1,,,,,G
IL1001,Illinois,IL,Background checks for permits to purchase - handguns and long guns,Restrictive,Implement,7/1/1968,,7,1,1968,430 Ill. Comp. Stat. 65/3,"§ 430 ILCS 65/3.  [Transfer of firearms; records; exceptions]
   Sec. 3. (a) Except as provided in Section 3a [430 ILCS 65/3a], no person within this State may knowingly transfer, or cause to be transferred, any firearm or any firearm ammunition to any person within this State unless the transferee with whom he deals displays a currently valid Firearm Owner's Identification Card which has previously been issued in his name by the Department of State Police under the provisions of this Act. In addition, all firearm transfers by federally licensed firearm dealers are subject to Section 3.1 [430 ILCS 65/3.1].
(b) Any person within this State who transfers or causes to be transferred any firearm shall keep a record of such transfer for a period of 10 years from the date of transfer. Such record shall contain the date of the transfer; the description, serial number or other information identifying the firearm if no serial number is available; and, if the transfer was completed within this State, the transferee's Firearm Owner's Identification Card number. On demand of a peace officer such transferor shall produce for inspection such record of transfer.",1,,,,,
IL1002,Illinois,IL,Background checks for permits to purchase - handguns and long guns,Restrictive,Modify,8/19/2013,,8,19,2013,430 Ill. Comp. Stat. 65/3(a-10),"(a-10) Notwithstanding item (2) of subsection (a) of this Section, any person who is not a federally licensed firearm dealer and who desires to transfer or sell a firearm or firearms to any person who is not a federally licensed firearm dealer shall, before selling or transferring the firearms, contact the Department of State Police with the transferee's or purchaser's Firearm Owner's Identification Card number to determine the validity of the transferee's or purchaser's Firearm Owner's Identification Card. This subsection shall not be effective until January 1, 2014. The Department of State Police may adopt rules concerning the implementation of this subsection. The Department of State Police shall provide the seller or transferor an approval number if the purchaser's Firearm Owner's Identification Card is valid. Approvals issued by the Department for the purchase of a firearm pursuant to this subsection are valid for 30 days from the date of issue.",,,,,"News reports indicate that this implemented background checks for gun purchases, but according to Vernick and Hepburn (2003), the FOID law of 1968 was essentially a background check law.",
IL1003,Illinois,IL,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
IL1004,Illinois,IL,Background checks for sales from dealers - handguns and long guns,Restrictive,Implement,7/1/1968,,7,1,1968,430 Ill. Comp. Stat. 65/3.1,"
(a) The Department of State Police shall provide a dial up telephone system or utilize other existing technology which
shall be used by any federally licensed firearm dealer, gun show promoter, or gun show vendor who is to transfer a
firearm, stun gun, or taser under the provisions of this Act. The Department of State Police may utilize existing
technology which allows the caller to be charged a fee not to exceed $ 2. Fees collected by the Department of State
Police shall be deposited in the State Police Services Fund and used to provide the service.
(b) Upon receiving a request from a federally licensed firearm dealer, gun show promoter, or gun show vendor, the
Department of State Police shall immediately approve, or within the time period established by Section 24-3 of the
Criminal Code of 2012 [720 ILCS 5/24-3] regarding the delivery of firearms, stun guns, and tasers notify the inquiring
dealer, gun show promoter, or gun show vendor of any objection that would disqualify the transferee from acquiring or
possessing a firearm, stun gun, or taser. In conducting the inquiry, the Department of State Police shall initiate and
complete an automated search of its criminal history record information files and those of the Federal Bureau of
Investigation, including the National Instant Criminal Background Check System, and of the files of the Department of
Human Services relating to mental health and developmental disabilities to obtain any felony conviction or patient
hospitalization information which would disqualify a person from obtaining or require revocation of a currently valid
Firearm Owner's Identification Card.",1,,,Firearm Owner's Identification Card law.,,
IL1005,Illinois,IL,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,1/1/1962,,1,1,1962,"1961 Laws, § 24-1","(a) A person commits the offense of unlawful use of weapons when he knowingly: (4) Carries or possesses in any vehicle or concealed on or about his person except when on his land or in his own abode, legal dwelling, or fixed place of business, or on the land or in the legal dwelling of another person as an invitee with that person's permission, any pistol, revolver, stun gun or taser or other firearm, except that this subsection (a)(4) does not apply to or affect transportation of weapons that meet one of the following conditions:
   (i) are broken down in a non-functioning state; or
   (ii) are not immediately accessible; or
   (iii) are unloaded and enclosed in a case, firearm carrying box, shipping box, or other container by a person who has been issued a currently valid Firearm Owner's Identification Card;",1,,,,,
IL1006,Illinois,IL,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,7/9/2013,,7,9,2013,430 Ill. Comp. Stat. 66/10(a),"The Department shall issue a license to carry a concealed firearm under this Act to an applicant who:
     (1) meets the qualifications of Section 25 of this Act [430 ILCS 66/25];
     (2) has provided the application and documentation required in Section 30 of this Act [430 ILCS 66/30];
     (3) has submitted the requisite fees; and
     (4) does not pose a danger to himself, herself, or others, or a threat to public safety as determined by the Concealed Carry Licensing Review Board in accordance with Section 20",,,,,,
IL1007,Illinois,IL,Castle Doctrine,Permissive,Implement,1/1/1962,,1,1,1962,720 Ill. Comp Stat. 5/7-2(a),"A person is justified in the use of force against another when and to the extent that he reasonably believes that such conduct is necessary to prevent or terminate such other's unlawful entry into or attack upon a dwelling. However, he is justified in the use of force which is intended or likely to cause death or great bodily harm only if:
(1) The entry is made or attempted in a violent, riotous, or tumultuous manner, and he reasonably believes that such force is necessary to prevent an assault upon, or offer of personal violence to, him or another then in the dwelling, or
(2) He reasonably believes that such force is necessary to prevent the commission of a felony in the dwelling.",1,,,,,
IL1008,Illinois,IL,Child access law,,,,,,,,,No CAP law,1,,,,,
IL1009,Illinois,IL,Child access laws - negligent storage (CAP),Restrictive,Implement,1/1/2000,,1,1,2000,720 Ill. Comp. Stat. 5/24-9(a)-(b),"Sec. 24-9. Firearms; Child Protection. (a) Except as provided in subsection (c), it is unlawful for any person to store or leave, within premises under his or her control, a firearm if the person knows or has reason to believe that a minor under the age of 14 years who does not have a Firearm Owners Identification Card is likely to gain access to the firearm without the lawful permission of the minor's parent, guardian, or person having charge of the minor, and the minor causes death or great bodily harm with the firearm, unless the firearm is:
(1) secured by a device or mechanism, other than the firearm safety, designed to render a firearm temporarily inoperable; or

(2) placed in a securely locked box or container; or

(3) placed in some other location that a reasonable person would believe to be secure from a minor under the age of 14 years.

(b) Sentence. A person who violates this Section is guilty of a Class C misdemeanor and shall be fined not less than $1,000. A second or subsequent violation of this Section is a Class A misdemeanor.",,,,,,
IL1010,Illinois,IL,Dealer license - handguns and long guns,,,,,,,,,No law requiring dealer license for handguns or long guns,1,,,,,
IL1011,Illinois,IL,Firearm Ban - Saturday Night Special Ban,Restrictive,Implement,2/21/1974,,2,21,1974,720 Ill. Comp. Stat. 5/24-3(A)(h),"A person commits the offense of unlawful sale or delivery of firearms when he or she knowingly does any of the
following: … (h) While holding any license as a dealer, importer, manufacturer or pawnbroker under the federal Gun Control
Act of 1968, manufactures, sells or delivers to any unlicensed person a handgun having a barrel, slide, frame or receiver
which is a die casting of zinc alloy or any other nonhomogeneous metal which will melt or deform at a temperature of
less than 800 degrees Fahrenheit. For purposes of this paragraph, (1) ""firearm"" is defined as in the Firearm Owners
Identification Card Act [430 ILCS 65/1 et seq.]; and (2) ""handgun"" is defined as a firearm designed to be held and fired
by the use of a single hand, and includes a combination of parts from which such a firearm can be assembled.",,,,,,
IL1012,Illinois,IL,Minimum age for youth possession - handguns,Restrictive,Implement,1/1/1962,,1,1,1962,"1961 Laws, § 24-3",A person commits the offense of unlawful sale or delivery of firearms when he or she knowingly does any of the following:     (a) Sells or gives any firearm of a size which may be concealed upon the person to any person under 18 years of age.,,18,,,,
IL1013,Illinois,IL,Minimum age for youth possession - handguns and long guns,Restrictive,Implement,1/1/1975,See additional notes and comments AND caveats and ambiguities about this date,1,1,1975,720 Ill. Comp. Stat. 5/24-3.1(a)(1),"(a) A person commits the offense of unlawful possession of firearms or firearm ammunition when:
     (1) He is under 18 years of age and has in his possession any firearm of a size which may be concealed upon the person; or
     (2) He is under 21 years of age, has been convicted of a misdemeanor other than a traffic offense or adjudged delinquent and has any firearms or firearm ammunition in his possession.",1,18,,"See People v. Ephriam, 60 Ill. App. 3d 848, 17 Ill. Dec. 859, 377 N.E.2d 49 to show statute was in force at least as early as 1975.",Unclear what year this law was first implemented.,
IL1014,Illinois,IL,Minimum purchase and sale age - handguns and long guns,Restrictive,Implement,1/1/1962,,1,1,1962,720 Ill. Comp. Stat. 5/24-3; 430 Ill. Comp. Stat. 65/3; 430 Ill. Comp. Stat. 65/4,"720 Ill. Comp. Stat. 5/24-3(A) A person commits the offense of unlawful sale or delivery of firearms when he or she knowingly does any of the following:
     (a) Sells or gives any firearm of a size which may be concealed upon the person to any person under 18 years of age.
 430 Ill. Comp. Stat. 65/4(a) Each applicant for a Firearm Owner's Identification Card must: ... (2) Submit evidence to the Department of State Police that: (i) He or she is 21 years of age or over, or if he or she is under 21 years of age that he or she has the written consent of his or her parent or legal guardian to possess and acquire firearms and firearm ammunition and that he or she has never been convicted of a misdemeanor other than a traffic offense or adjudged delinquent, provided, however, that such parent or legal guardian is not an individual prohibited from having a Firearm Owner's Identification Card and files an affidavit with the Department as prescribed by the Department stating that he or she is not an individual prohibited from having a Card
",1,18,,430 Ill. Comp. Stat. 65/4 is a permit law.,,
IL1015,Illinois,IL,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
IL1016,Illinois,IL,Open Carry prohibited - handguns and long guns,Restrictive,Implement,1/1/1974,See additional notes and comments AND caveats and ambiguities about this date,1,1,1974,720 Ill. Comp. Stat. 5/24-1(a)(10),"A person commits the offense of unlawful use of weapons when he knowingly:...Carries or possesses on or about his person, upon any public street, alley, or other public lands within the corporate limits of a city, village or incorporated town, except when an invitee thereon or therein, for the purpose of the display of such weapon or the lawful commerce in weapons, or except when on his land or in his own abode, legal dwelling, or fixed place of business, or on the land or in the legal dwelling of another person as an invitee with that person's permission, any pistol, revolver, stun gun or taser or other firearm, except that this subsection (a) (10) does not apply to or affect transportation of weapons that meet one of the following conditions..",1,,,"See People v. Graves (1974), 23 Ill. App. 3d 762, 320 N.E.2d 95; People v. Williams (1978), 60 Ill. App. 3d 726, 18 Ill. Dec. 132, 377 N.E.2d 285

Exception since 2013: CCW licensees may carry a ""partially exposed"" handgun.",Unclear what year this law was first implemented.,
IL1017,Illinois,IL,Permit to Purchase - handguns and long guns,Restrictive,Implement,7/1/1968,,7,1,1968,430 Ill. Comp. Stat. 65/2,No person may acquire or possess any firearm or any firearm ammunition within this State without having in his possession a Firearm Owner's Identification Card previously issued in his name by the Department of Public Safety under the provisions of this Act.,,,,Permit is for 10 years.,"Vernick and Hepburn (2003) say this is a handgun law, but we think the law has always referred to firearms in general.",
IL1018,Illinois,IL,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
IL1019,Illinois,IL,Waiting period - handguns and long guns,Restrictive,Implement,8/3/1967,,8,3,1967,"Laws 1967, § 24-3","A person commits the offense of unlawful sale of firearms when he knowingly:] Delivers any firearm, incidental to a sale, without withholding delivery of such firearm for at least 72 hours after application for its purchase has been made",,,3,,,
IL1020,Illinois,IL,Waiting period - long guns,Permissive,Modify,7/1/1969,,7,1,1969,720 Ill. Comp. State. 5/24-3(A)(g),"A person commits the offense of unlawful sale of firearms when he knowingly: (g) Delivers any firearm of a size which may be concealed upon the person, incidental to a sale, without withholding delivery of such firearm for at least 72 hours after application for its purchase has been made, or delivers any rifle, shotgun or other long gun, incidental to a sale, without withholding delivery of such rifle, shotgun or other long gun for at least 24 hours after application for its purchase has been made.",1,,3,"Waiting period remains the same for handguns, shortens for long guns. See Laws 1969, PA 76-1852 for original bill.",,
IN1001,Indiana,IN,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
IN1002,Indiana,IN,Background checks for sales from dealers - handguns,Restrictive,Implement,4/22/1983,,4,22,1983,Ind. Code Ann. § 35-47-2.5-4(a),"A dealer may not sell, rent, trade, or transfer from the dealer's inventory a handgun to a person until the dealer has done all of the following:
     (1) Obtained from the prospective purchaser a completed and signed Form 4473 as specified in section 3 [IC 35-47-2.5-3] of this chapter.
     (2) Contacted NICS:
         (A) by telephone; or
         (B) electronically;
          to request a background check on the prospective purchaser.
     (3) Received authorization from NICS to transfer the handgun to the prospective purchaser.",,,,,Vernick and Hepburn (2003) also have an entry for background checks for private sales but don't think that ever existed.,
IN1003,Indiana,IN,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
IN1004,Indiana,IN,Carrying a concealed weapon (CCW) - may issue,Permissive,Modify,4/23/1973,,4,23,1973,Ind. Code Sec. 35-23-4.1 (1973),"Sec. 3. Except as provided in section 4 of this chapter,
no person shall carry a handgun in any vehicle or on or
about his person, except in his place of abode, on his property or fixed place of business, without a license issued under this chapter.",1,,,,,
IN1005,Indiana,IN,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,,,2,10,1831,Ind. Code Ann. Sec. 5-2345-449 (1915),"2345. Weapon-Carrying dangerous.-449. Every person, not
being a traveler, who shall wear or carry any dirk, pistol, bowie-knife, dagger,
sword in cane or any other dangerous or deadly weapon concealed, or who shall
carry or wear any such weapon openly, with the intent or avowed purpose of
injuring his fellowman, shall, on conviction, be fined not exceeding five hundred
dollars.",,,,,,D
IN1006,Indiana,IN,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,1/15/1980,Case decided January 15.  See also caveats and ambiguities.,1,15,1980,Ind. Code Ann. § 35-47-2-3(e),"If it appears to the superintendent that the applicant:
     (1) has a proper reason for carrying a handgun;
     (2) is of good character and reputation;
     (3) is a proper person to be licensed; and
     (4) is:
         (A) a citizen of the United States; or
         (B) not a citizen of the United States but is allowed to carry a firearm in the United States under federal law;
   the superintendent shall issue to the applicant a qualified or an unlimited license to carry any handgun lawfully possessed by the applicant.",,,,,"Whether Indiana was shall issue or may issue was very unclear until Schubert v. DeBard, in 1980. Many sources take 1980 as the year Indiana became ""shall issue,"" which we do here. Vernick and Hepburn (2003) say 1973.",
IN1007,Indiana,IN,Castle Doctrine,Permissive,Implement,7/1/1977,,7,1,1977,"Ind. Public Law No. 148, Art. 41, Ch. 3, § 2(b)","A person is justified in using reasonable force, including force that creates a substantial risk of serious bodily injury against another person if he reasonably believes that the force is necessary to prevent or terminate the other person's unlawful entry of or attack on his dwelling or curtilage.",1,,,,,
IN1008,Indiana,IN,Castle Doctrine - Stand Your Ground,Permissive,Modify,7/1/2006,,7,1,2006,Ind. Code Ann. § 35-41-3-2(c)(2),"(c) A person is justified in using reasonable force against any other person to protect the person or a third person from what the person reasonably believes to be the imminent use of unlawful force. However, a person: (1) is justified in using deadly force; and (2) does not have a duty to retreat;
if the person reasonably believes that that force is necessary to prevent serious bodily injury to the person or a third person or the commission of a forcible felony. No person in this state shall be placed in legal jeopardy of any kind whatsoever for protecting the person or a third person by reasonable means necessary.",,,,,,
IN1009,Indiana,IN,Child access law,,,,,,,,,No CAP law,1,,,,,
IN1010,Indiana,IN,"Child access laws - intentional, reckless, or knowing provision",Restrictive,Implement,3/15/1994,,3,15,1994,"Ind. Code Ann. §§ 35-47-10-6, 35-47-10-7","§ 35-47-10-6. Provision of handgun by adult to child


   An adult who knowingly, intentionally, or recklessly provides a handgun to a child for any purpose other than those described in section 1 [IC 35-47-10-1] of this chapter, with or without remuneration, commits dangerous control of a handgun, a Class C felony. However, the offense is a Class B felony if the adult has a prior conviction under this section.
                                                                                                     § 35-47-10-7. Dangerous control of a child


   A child's parent or legal guardian who knowingly, intentionally, or recklessly permits the child to possess a handgun:
   (1) While:

      (A) Aware of a substantial risk that the child will use the handgun to commit a felony; and

      (B) Failing to make reasonable efforts to prevent the use of a handgun by the child to commit a felony; or

   (2) When the child has been convicted of a crime of violence or has been adjudicated as a juvenile for an offense that would constitute a crime of violence if the child were an adult;
 
commits dangerous control of a child, a Class C felony. However, the offense is a Class B felony if the child's parent or legal guardian has a prior conviction under this section.
",,,,,,
IN1011,Indiana,IN,Dealer license - handguns,Restrictive,Implement,4/22/1983,,4,22,1983,Ind. Code Ann. §§ 35-47-2-14 - 35-47-2-16,"35-47-2-14 A retail dealer who:
   (1) Sells;
   (2) Trades;
   (3) Transfers;
   (4) Exposes for sale, trade, or transfer; or
   (5) Possesses with intent to sell, trade, or transfer;
   any handgun without being licensed under sections 15 and 16 of this chapter and without displaying his license at all times commits a class B misdemeanor.                                                                                                                                                       35-47-2-15(b) [...] If it appears to the superintendent that the applicant is of good character and reputation and a proper person to be so licensed, he shall issue to said applicant a retail handgun dealer's license which shall be valid for a period of two (2) years from the date of issue. [...]",,,,,,
IN1012,Indiana,IN,Dealer license - handguns,Permissive,Modify,7/1/2011,,7,1,2011,Ind. Code Ann. § 35-47-2-15(d)(2) (2012),"(d) If an applicant applies for a license under this section after June 30, 2011:

   (2) if it appears to the superintendent that the applicant is:

      (A) of good character and reputation; and

      (B) a proper person to be licensed;

      the superintendent shall issue to the applicant a retail handgun dealer's license, which is valid for six (6) years after the date the license is issued; and
",,,,Also applies to assault weapons.,,
IN1013,Indiana,IN,Dealer license - handguns and long guns,,,,,,,,,No law requiring dealer license for handguns or long guns,1,,,,,
IN1014,Indiana,IN,Minimum age for youth possession - handguns and long guns,Restrictive,Implement,7/1/1994,,7,1,1994,Ind. Code Ann. § 35-47-10-5,"35-47-10-5.  Dangerous possession of firearm.

(a) A child who knowingly, intentionally, or recklessly possesses a firearm for any purpose other than a purpose described in section 1 [IC 35-47-10-1] of this chapter commits dangerous possession of a firearm, a Class A misdemeanor. However, the offense is a Level 5 felony if the child has a prior conviction under this section or has been adjudicated a delinquent for an act that would be an offense under this section if committed by an adult.",,18,,"35-47-10-3. ""Child"" defined. As used in this chapter, ""child"" means a person who is less than eighteen (18) years of age.

",,
IN1015,Indiana,IN,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
IN1016,Indiana,IN,Minimum purchase and sale age - handguns,Restrictive,Implement,4/23/1973,,4,23,1973,Ind. Code Ann. § 35-47-2-7(a),"(a) Except an individual acting within a parent-minor child or guardian-minor protected person relationship or any other individual who is also acting in compliance with IC 35-47-10 (governing children and firearms), a person may not sell, give, or in any other manner transfer the ownership or possession of a handgun or assault weapon to any person under eighteen (18) years of age.",1,18,,See Public Law N. 333 (1973).,Not included in the Giffords Law Center to Prevent Gun Violence (undated) website.,
IN1017,Indiana,IN,Minimum purchase and sale age - handguns and long guns,Restrictive,Modify,1/1/1975,"Not sure about day + month, so using January 1.",1,1,1975,Ind. Code Ann. § 35-1-79-3,Minimum age of 21 for sale of a pistol or a deadly weapon that can be carried concealed to a minor.,,21,,,,
IN1018,Indiana,IN,Minimum purchase and sale age - handguns and long guns,Permissive,Repeal,7/1/1977,,7,1,1977,Ind. Code Ann. § 35-1-79-3,Repealed.,,,,Higher minimum age of 21 was in place for 2 years. Superseded law with minimum age of 18 for that period.,,H
IN1019,Indiana,IN,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
IN1020,Indiana,IN,Open Carry license required - handguns,Permissive,Implement,1/1/1983,"Not sure about day + month, so using January 1.",1,1,1983,Ind. Code Ann. § 35-47-2-1(a),"Except as provided in subsections (b) and (c) and section 2 of this chapter, a person shall not carry a handgun in any vehicle or on or about the person's body without being licensed under this chapter to carry a handgun.",,,,See Ind. Code. §35-47-2-1 (1983) for original version.,,
IN1021,Indiana,IN,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
IN1022,Indiana,IN,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
IN1023,Indiana,IN,Waiting period - handguns,Restrictive,Implement,10/1/1973,,10,1,1973,Indiana Code Ann. § 35-27-4.1-7(b),"No transferor shall deliver a handgun to a transferee until at least seven [7] working days shall have elapsed from the time of the application for the transfer and, when delivered, the handgun shall be securely wrapped and unloaded.",1,,7,Was implemented as Ind. Code Ann. § 35-23-4.1-7.,,
IN1024,Indiana,IN,Waiting period - handguns,Restrictive,Modify,6/1/1983,,6,1,1983,Indiana Code Ann. § 35-27-4.1-7(b),It is the intent of this chapter…that delivery of the handgun or handguns until the ten-day waiting period has elapsed or has been waived as indicated above.,,,10,,Indiana Code Ann. § 35-27-4.1-7(a) maintains 7-day waiting period language.,
IN1025,Indiana,IN,Waiting period - handguns,Permissive,Repeal,11/30/1998,,11,30,1998,Indiana Code Ann. § 35-27-4.1-7(b),Repealed.,,,,,,G
IN1026,Indiana,IN,Waiting period - handguns and long guns,,,,,,,,,No law imposing waiting period for purchase of handguns or long guns,1,,,,,G
IA1001,Iowa,IA,Background checks for private sales - handguns,Restrictive,Implement,4/5/1990,,4,5,1990,"Iowa Code §§ 724.15, 724.17","724.15  Annual permit to acquire pistols or revolvers.
1. Any person who desires to acquire ownership of any pistol or revolver shall first obtain an annual permit. An annual permit shall be issued upon request to any resident of this state unless the person is subject to any of the following:
     a. Is less than twenty-one years of age.
     b. Is subject to the provisions of section 724.26.
     c. Is prohibited by federal law from shipping, transporting, possessing, or receiving a firearm.724.17  Application for annual permit to acquire -- criminal history check required.

The application for an annual permit to acquire pistols or revolvers may be made to the sheriff of the county of the applicant's residence and shall be on a form prescribed and published by the commissioner of public safety. The application shall require only the full name of the applicant, the driver's license or nonoperator's identification card number of the applicant, the residence of the applicant, and the date and place of birth of the applicant. The applicant shall also display an identification card that bears a distinguishing number assigned to the cardholder, the full name, date of birth, sex, residence address, and brief description and color photograph of the cardholder, or other identification as specified by rule of the department of public safety. The sheriff shall conduct a criminal history check concerning each applicant by obtaining criminal history data from the department of public safety which shall include an inquiry of the national instant criminal background check system maintained by the federal bureau of investigation or any successor agency. A person who makes what the person knows to be a false statement of material fact on an application submitted under this section or who submits what the person knows to be any materially falsified or forged documentation in connection with such an application commits a class ""D"" felony.
",,,,,,
IA1002,Iowa,IA,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
IA1003,Iowa,IA,Background checks for sales from dealers - handguns,Restrictive,Implement,4/5/1990,,4,5,1990,Iowa Code § 724.17,"The application for an annual permit to acquire pistols or revolvers may be made to the sheriff of the county of the applicant's residence and shall be on a form prescribed and published by the commissioner of public safety. The application shall require only the full name of the applicant, the driver's license or nonoperator's identification card number of the applicant, the residence of the applicant, and the date and place of birth of the applicant. The applicant shall also display an identification card that bears a distinguishing number assigned to the cardholder, the full name, date of birth, sex, residence address, and brief description and color photograph of the cardholder, or other identification as specified by rule of the department of public safety. The sheriff shall conduct a criminal history check concerning each applicant by obtaining criminal history data from the department of public safety which shall include an inquiry of the national instant criminal background check system maintained by the federal bureau of investigation or any successor agency. A person who makes what the person knows to be a false statement of material fact on an application submitted under this section or who submits what the person knows to be any materially falsified or forged documentation in connection with such an application commits a class ""D"" felony.",,,,,,
IA1004,Iowa,IA,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
IA1005,Iowa,IA,Carrying a concealed weapon (CCW) - may issue,Permissive,Implement,1/1/1962,See caveats and ambiguities about this date,1,1,1962,Iowa Code § 724.11,"Applications for permits to carry weapons shall be made to the sheriff of the county in which the applicant resides. Applications from persons who are nonresidents of the state, or whose need to go armed arises out of employment by the state, shall be made to the commissioner of public safety. In either case, the issuance of the permit shall be by and at the discretion of the sheriff or commissioner, who shall, before issuing the permit, determine that the requirements of sections 724.6 to 724.10 have been satisfied.",1,,,,Unclear what year this law was first implemented.,
IA1006,Iowa,IA,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,1/1/2011,,1,1,2011,Iowa Code § 724.7,"1. Any person who is not disqualified under section 724.8, who satisfies the training requirements of section 724.9, and who files an application in accordance with section 724.10 shall be issued a nonprofessional permit to carry weapons.",,,,,,
IA1007,Iowa,IA,Castle Doctrine - Expanded,Permissive,Implement,1/1/1978,,1,1,1978,Iowa Code Ann. § 704.1," Reasonable force, including deadly force, may be used even if an alternative course of action is available if the alternative entails a risk to life or safety, or the life or safety of a third party, or requires one to abandon or retreat from one's dwelling or place of business or employment.",1,,,See Acts 1976 (66 G.A.) Ch. 1245 (Ch. 1).,,
IA1008,Iowa,IA,Child access law,,,,,,,,,No CAP law,1,,,,,
IA1009,Iowa,IA,Child access laws - negligent storage (CAP),Restrictive,Implement,4/5/1990,,4,5,1990,Iowa Code § 724.22(7),"Access to loaded firearms by children restricted -- penalty. It shall be unlawful for any person to store or leave a loaded firearm which is not secured by a trigger lock mechanism, placed in a securely locked box or container, or placed in some other location which a reasonable person would believe to be secure from a minor under the age of fourteen years, if such person knows or has reason to believe that a minor under the age of fourteen years is likely to gain access to the firearm without the lawful permission of the minor's parent, guardian, or person having charge of the minor, the minor lawfully gains access to the firearm without the consent of the minor's parent, guardian, or person having charge of the minor, and the minor exhibits the firearm in a public place in an unlawful manner, or uses the firearm unlawfully to cause injury or death to a person. This subsection does not apply if the minor obtains the firearm as a result of an unlawful entry by any person. A violation of this section is punishable as a serious misdemeanor.",,,,,,
IA1010,Iowa,IA,Dealer license - handguns and long guns,,,,,,,,,No law requiring dealer license for handguns or long guns,1,,,,,
